青木,あおき
築道,つきみち
榴岡四丁目,つつじがおかよんちょうめ
堤通雨宮町,つつみどおりあまみやまち
綱木,つなぎ
角五郎一丁目,つのごろういっちょうめ
角五郎二丁目,つのごろうにちょうめ
燕沢住宅前,つばめさわじゅうたくまえ
燕沢東,つばめさわひがし
露払,つゆはらい
鶴ケ谷五丁目,つるがやごちょうめ
鶴ケ谷五丁目東,つるがやごちょうめひがし
鶴ケ谷三丁目三高前,つるがやさんちょうめさんこうまえ
鶴ケ谷三丁目西,つるがやさんちょうめにし
鶴ケ谷団地入口,つるがやだんちいりぐち
鶴ケ谷中央,つるがやちゅうおう
鶴ケ谷東光台団地前,つるがやとうこうだいだんちまえ
鶴谷特別支援学校前,つるがやとくべつしえんがっこうまえ
鶴ケ谷七丁目,つるがやななちょうめ
鶴ケ谷七丁目東,つるがやななちょうめひがし
鶴ケ谷七丁目南,つるがやななちょうめみなみ
鶴ケ谷二丁目,つるがやにちょうめ
鶴ケ谷八丁目,つるがやはっちょうめ
鶴ケ谷保育所入口,つるがやほいくしょいりぐち
鶴ケ谷四丁目(西側),つるがやよんちょうめ
鶴ケ谷四丁目(東側),つるがやよんちょうめ
鶴ケ谷四丁目北,つるがやよんちょうめきた
鶴ケ谷四丁目中,つるがやよんちょうめなか
鶴ケ谷六丁目北,つるがやろくちょうめきた
鶴ケ谷六丁目西,つるがやろくちょうめにし
鶴ケ谷六丁目東,つるがやろくちょうめひがし
鶴ケ谷六丁目東小学校前,つるがやろくちょうめひがししょうがっこうまえ
鶴巻,つるまき
鶴巻小学校前,つるまきしょうがっこうまえ
鶴巻保育所前(北側),つるまきほいくしょまえ
鶴巻保育所前(南側),つるまきほいくしょまえ
ＴＢＣ本社前,てぃーびーしーほんしゃまえ
電力研究所前,でんりょくけんきゅうじょまえ
電力ビル前,でんりょくびるまえ
二軒茶屋・東華中学校前,にけんちゃやとうかちゅうがっこうまえ
東照宮一丁目,とうしょうぐういっちょうめ
東部工場団地,とうぶこうじょうだんち
歯学部・東北会病院前,しがくぶとうほくかいびょういんまえ
